Year,Month,Pax,PaxLastyr
2006,apr,24118, 0
2006,may,25588, 0
2006,jun,23087, 0
2006,jul,23432, 0
2006,aug,22835, 0
2006,sep,26841, 0
2006,oct,24169, 0
2006,nov,28940, 0
2006,dec,33204, 0
2007,jan,22536, 0
2007,feb,31827, 0
2007,mar,33725, 0
2007,apr,38135,24118
2007,may,44155,25588
2007,jun,32605,23087
2007,jul,37902,23432
2007,aug,42849,22835
2007,sep,40639,26841
2007,oct,43768,24169
2007,nov,42562,28940
2007,dec,45695,33204
2008,jan,45473,22536
2008,feb,43629,31827
2008,mar,44782,33725
2008,apr,54216,38135
2008,may,56909,44155
2008,jun,49546,32605
2008,jul,48185,37902
2008,aug,54668,42849
2008,sep,37971,40639
2008,oct,51657,43768
2008,nov,43204,42562
2008,dec,52114,45695
2009,jan,51548,45473
2009,feb,47981,43629
2009,mar,50753,44782
2009,apr,47893,54216
2009,may,58197,56909
2009,jun,53655,49546
2009,jul,50015,48185
2009,aug,52966,54668
2009,sep,46605,37971
2009,oct,56697,51657
2009,nov,53734,43204
2009,dec,55686,52114
2010,jan,56300,51548
2010,feb,48209,47981
2010,mar,51083,50753
2010,apr,54622,47893
2010,may,60081,58197
2010,jun,59095,53655
2010,jul,53992,50015
2010,aug,57075,52966
2010,sep,54069,46605
2010,oct,57341,56697
2010,nov,58521,53734
2010,dec,67855,55686
2011,jan,67133,56300
2011,feb,60598,48209
2011,mar,61175,51083
2011,apr,61559,54622
2011,may,71525,60081
2011,jun,79665,59095
2011,jul,70859,53992
2011,aug,69552,57075
2011,sep,68878,54069
2011,oct,89011,57341
2011,nov,51,0
2011,nov,84512,58521
2011,dec,20,0
2011,dec,93426,67855
2012,jan,19,0
2012,jan,95954,67133
2012,feb,15,0
2012,feb,86155,60598
2012,mar,389,0
2012,mar,86534,61175
2012,apr,2444,0
2012,apr,85081,61559
2012,may,3128,0
2012,may,94054,71525
2012,jun,4858,0
2012,jun,86885,79665
2012,jul,2547,0
2012,jul,78969,70859
2012,aug,2700,7
2012,aug,81378,69552
2012,sep,3805,21
2012,sep,63353,68878
2012,oct,4091,8
2012,oct,78858,89011
2012,nov,6556,51
2012,nov,75557,84512
2012,dec,5973,20
2012,dec,95203,93426
2013,jan,5715,19
2013,jan,90103,95954
2013,feb,5323,15
2013,feb,78201,86155
2013,mar,7412,389
2013,mar,75405,86534
2013,apr,8570,2444
2013,apr,69963,85081
2013,may,11879,3128
2013,may,90612,94054
2013,jun,4832,4858
2013,jun,81428,86885
2013,jul,4124,2547
2013,jul,75417,78969
2013,aug,5372,2700
2013,aug,85848,81378
2013,sep,4711,3805
2013,sep,61844,63353
2013,oct,3893,4091
2013,oct,80957,78858
2013,nov,4784,6556
2013,nov,74055,75557
2013,dec,6048,5973
2013,dec,88891,95203
2014,jan,6752,5715
2014,jan,79710,90103
2014,feb,5270,5323
2014,feb,73264,78201
2014,mar,5839,7412
2014,mar,78459,75405
2014,apr,5338,8570
2014,apr,81750,69963
2014,may,5221,11879
2014,may,97779,90612
2014,jun,5235,4832
2014,jun,88233,81428
2014,jul,4548,4124
2014,jul,77277,75417
2014,aug,5625,5372
2014,aug,93542,85848
2014,sep,3520,4711
2014,sep,91965,61844
2014,oct,1734,3893
2014,oct,64255,80957
2014,nov,3435,4784
2014,nov,77996,74055
2014,dec,5668,6048
2014,dec,93681,88891
2015,jan,5889,6752
2015,jan,91668,79710
2015,feb,6717,5270
2015,feb,86454,73264
2015,mar,7065,5839
2015,mar,94885,78459
2015,apr,7840,5338
2015,apr,111919,81750
2015,may,12052,5221
2015,may,130952,97779
2015,jun,10056,5235
2015,jun,118138,88233
2015,jul,10104,4548
2015,jul,134238,77277
2015,aug,9499,5625
2015,aug,132981,93542
2015,sep,8941,3520
2015,sep,128955,91965
2015,oct,11037,1734
2015,oct,145082,64255
2015,nov,9630,3435
2015,nov,135328,77996
2015,dec,12287,5668
2015,dec,155780,93681
2016,jan,12773,5889
2016,jan,163016,91668
2016,feb,8919,6717
2016,feb,159164,86454
2016,mar,8478,7065
2016,mar,167465,94885
2016,apr,8200,7840
2016,apr,172444,111919
2016,may,9162,12052
2016,may,182661,130952
2016,jun,7620,10056
2016,jun,168558,118138
2016,jul,6961,10104
2016,jul,181743,134238
2016,aug,7897,9499
2016,aug,197548,132981
2016,sep,6733,8941
2016,sep,177472,128955
2016,oct,7653,11037
2016,oct,197219,145082
2016,nov,8215,9630
2016,nov,195326,135328
2016,dec,8988,12287
2016,dec,213120,155780
2017,jan,10221,12773
2017,jan,210085,163016
2017,feb,7945,8919
2017,feb,181583,159164
2017,mar,8254,8478
2017,mar,182421,167465
2017,apr,9181,8200
2017,apr,187247,172444
2017,may,9945,9162
2017,may,221700,182661
2017,jun,9150,7620
